Budget,Release Year,Revenue,Title,Starring Actors Popularity
90000000,1995,366101666,Die Hard: With a Vengeance,1092.608337
107000000,2001,87713825,Ali,3361.742715
92000000,1996,494471524,Twister,667.0591621
116000000,2004,102000000,The Aviator,4179.063867
100000000,1999,211989043,End of Days,5015.469248
100000000,1999,93700000,Bicentennial Man,4149.024849
103000000,2000,457640427,Gladiator,197.902127
130000000,2008,49554002,Australia,2073.583111
130000000,2008,631744560,Kung Fu Panda,2365.338722
80000000,1992,280000000,Batman Returns,884.6683923
95000000,1998,250288523,The Mask of Zorro,1459.531891
110000000,2003,407711549,X2,3227.219396
120000000,2006,461983149,Cars,860.7739797
100000000,2000,155464351,What Lies Beneath,8214.26295
100000000,2000,169327687,The Emperor's New Groove,868.9577933
130000000,2009,185258983,Watchmen,1361.71587
102000000,2001,147080413,Swordfish,2193.658063
90000000,1997,263920180,The Fifth Element,1717.47504
90000000,1997,140807547,The Devil's Own,7678.076521
90000000,1997,171120329,Contact,517.6116034
90000000,1997,589390539,Men in Black,2049.274093
110000000,2004,362744280,Ocean's Twelve,3462.5235
110000000,2004,103951461,Home on the Range,89.14720477
110000000,2004,72178895,Around the World in 80 Days,1291.19361
54000000,1980,190458706,Superman II,912.7666211
113000000,2005,850000000,Star Wars: Episode III - Revenge of the Sith,3059.408255
100000000,2001,362211740,Planet of the Apes,886.3693462
100000000,2001,235926552,A.I. Artificial Intelligence,146.4018779
70000000,1989,90000098,The Abyss,617.88754
102000000,2002,358372926,Minority Report,5809.25407
90000000,1998,304320254,Mulan,2107.833018
90000000,1998,250649836,Enemy of the State,2756.919583
90000000,1998,69131860,Babe: Pig in the City,72.05994502
90000000,1998,142940100,Meet Joe Black,2064.989208
98000000,2001,433013274,The Mummy Returns,239.6992108
95000000,2000,190213455,Hollow Man,1384.364596
95000000,2000,76432727,The Road to El Dorado,384.2025593
110000000,2005,478207520,Mr. & Mrs. Smith,4620.910772
120000000,2008,93945766,Speed Racer,534.1342186
100000000,2002,7103973,The Adventures of Pluto Nash,4094.325049
100000000,2002,193772504,Gangs of New York,3518.826707
100000000,2002,35168966,K-19: The Widowmaker,7985.771195
100000000,2002,876688482,Harry Potter and the Chamber of Secrets,1535.617471
70000000,1990,240031094,Die Hard 2,318.4597531
105000000,2004,115772733,The Chronicles of Riddick,1697.028557
58000000,1984,25928721,The Cotton Club,0.0
31115000,1963,71000000,Cleopatra,190.9742745
85000000,1997,315156409,Air Force One,7678.076521
90000000,1999,497366869,Toy Story 2,4719.576802
90000000,1999,60289912,The Insider,1631.68771
90000000,1999,161626121,Payback,3142.106432
110000000,2006,574480841,Night at the Museum,3619.024408
92000000,2000,264105545,Charlie's Angels,1979.642045
70000000,1991,300854823,Hook,1459.024594
94000000,2001,54744738,Driven,410.1194741
93000000,2001,368780809,Jurassic Park III,2300.533542
93000000,2001,871368364,The Lord of the Rings: The Fellowship of the Ring,490.6421945
85000000,1998,71485043,What Dreams May Come,3763.785314
80000000,1996,250200000,Space Jam,0.0
80000000,1996,309492681,Ransom,2006.919126
80000000,1996,457696359,Mission: Impossible,3672.131329
80000000,1996,159212469,Daylight,2515.696241
90000000,2000,60874615,Mission to Mars,1882.000823
90000000,2000,237202299,Gone in Sixty Seconds,2201.77622
90000000,2000,429632142,Cast Away,5920.060344
90000000,2000,14828081,Supernova,182.2812646
63000000,1988,189015611,Rambo III,1406.659183
110000000,2007,383531464,Live Free or Die Hard,5593.339187
110000000,2007,228738393,Ghost Rider,3275.961706
92000000,2001,172989651,Black Hawk Down,1538.255659
92000000,2001,143049560,Spy Game,2469.64467
100000000,2004,82102379,Catwoman,1492.770956
100000000,2004,108103450,Hidalgo,3368.15251
100000000,2004,347451894,National Treasure,2632.081879
80000000,1997,245676146,Face/Off,1540.382463
80000000,1997,177977226,Flubber,3119.508053
80000000,1997,17626234,The Postman,3494.54785
90000000,2001,10372291,Town & Country,732.918137
90000000,2001,347325802,Rush Hour 2,679.7851266
65000000,1990,261317921,Total Recall,1553.854889
95000000,2003,156505388,Lara Croft Tomb Raider: The Cradle of Life,1121.469646
100000000,2005,202026112,Fun with Dick and Jane,4454.889045
70000000,1993,255000211,Cliffhanger,1780.496164
94000000,2003,940335536,Finding Nemo,48.27427294
94000000,2003,1118888979,The Lord of the Rings: The Return of the King,3227.219396
85000000,2000,183611771,102 Dalmatians,1345.680984
80000000,1998,136159423,Lost in Space,1828.343489
65000000,1991,17218080,Hudson Hawk,834.3400364
82000000,1999,47434430,Man on the Moon,3200.663791
75000000,1996,335062621,The Rock,3259.209878
75000000,1996,816969268,Independence Day,1758.151426
84000000,2000,123307945,Nutty Professor II: The Klumps,3008.86414
100000000,2006,249288105,Eragon,842.8786331
100000000,2006,170877916,Blood Diamond,4132.625975
100000000,2006,384335608,Happy Feet,4480.140304
72000000,1995,210000000,Braveheart,986.0939917
83000000,2000,59468275,The Flintstones in Viva Rock Vegas,437.7636421
85000000,2001,450717150,Ocean's Eleven,2469.64467
80000000,1999,91188905,The Haunting,660.1297795
80000000,1999,176885658,Analyze This,1386.922284
80000000,1999,90874570,Fantasia 2000,23.98827238
80000000,1999,118880016,Message in a Bottle,3367.95002
90000000,2003,182290266,The Haunted Mansion,4056.674213
82000000,2000,96085477,The 6th Day,5249.089097
75000000,1997,136982834,Conspiracy Theory,2526.470515
75000000,1997,224012234,Con Air,783.1530767
92000000,2004,631442092,The Incredibles,2774.883785
100000000,2007,266465037,American Gangster,2779.256204
55000000,1987,14375181,Ishtar,567.1951807
46000000,1981,5200000,Inchon,10.51695602
60000000,1990,157920733,Days of Thunder,2238.816181
105000000,2009,267045765,The Princess and the Frog,43.18901132
85000000,2002,78382433,Collateral Damage,5146.996552
80000000,2000,33463969,Red Planet,2164.047349
80000000,2000,34566746,Thirteen Days,3487.0712
80000000,2000,39459427,The Legend of Bagger Vance,1577.258477
90000000,2004,102000000,The Stepford Wives,1603.681093
73000000,1997,229074524,The Lost World: Jurassic Park,3210.151373
87000000,2003,148336445,Seabiscuit,398.1002702
75000000,1998,46683377,Practical Magic,1398.671407
75000000,1998,14567883,Soldier,759.0161039
75000000,1998,140464664,Deep Impact,572.0288924
75000000,1998,13100000,Sphere,2254.574675
44000000,1980,3484331,Heaven's Gate,34.73193851
84000000,2002,275650703,Scooby-Doo,332.6452427
70000000,1996,101371017,Mars Attacks!,1586.025968
85000000,2003,80916492,The Rundown,299.75863
63000000,1993,920100000,Jurassic Park,29.46128196
73000000,1998,103891409,Snake Eyes,1783.662835
75000000,1999,19598588,The Astronaut's Wife,291.1904523
75000000,1999,108000000,Three Kings,591.800088
75000000,1999,29000000,The Out-of-Towners,471.8834795
97250400,2008,132900000,Asterix at the Olympic Games,0.0
100000000,2009,100086793,Where the Wild Things Are,415.7695287
100000000,2009,150166126,The Taking of Pelham 1 2 3,3025.960182
100000000,2009,242988466,Cloudy with a Chance of Meatballs,864.9059284
100000000,2009,68688831,Land of the Lost,1205.486897
70000000,1997,162000000,Alien: Resurrection,865.0471092
70000000,1997,131457682,Seven Years in Tibet,1616.957
55000000,1989,63408614,Tango & Cash,1811.075039
76000000,2000,35134820,The Adventures of Rocky & Bullwinkle,733.2922692
88000000,2005,108539911,Cinderella Man,2342.488992
88000000,2005,105316267,The Brothers Grimm,3148.5481
80000000,2002,123729176,The Time Machine,513.4957196
80000000,2002,145771527,Lilo & Stitch,0.0
80000000,2002,181001478,Road to Perdition,6340.246738
80000000,2002,122563539,Spirit: Stallion of the Cimarron,2341.091186
90000000,2006,65900249,Flags of Our Fathers,375.901462
90000000,2006,289847354,The Departed,4132.625975
71000000,1998,294456605,Doctor Dolittle,2107.833018
63000000,1994,25052000,Wyatt Earp,3060.256983
73000000,1999,151493655,The Bone Collector,1618.05838
75000000,2000,296339527,X-Men,1264.33638
75000000,2000,248118121,Unbreakable,4670.531146
75000000,2000,215663859,Vertical Limit,1458.87903
75000000,2000,36754634,Titan A.E.,2083.122965
79000000,2002,926287400,The Lord of the Rings: The Two Towers,1850.944469
68000000,1997,118063304,The Saint,1713.071682
70000000,1998,118000000,Star Trek: Insurrection,728.2244799
70000000,1998,481840909,Saving Private Ryan,3538.986625
70000000,1998,19870567,Hard Rain,2619.607106
70000000,1998,218613188,The Prince of Egypt,1882.885222
70000000,1998,56702901,A Civil Action,1957.570498
70000000,1998,116672912,The Siege,2428.312728
70000000,1998,164000000,Six Days Seven Nights,8272.303824
62000000,1994,215887717,Clear and Present Danger,7890.475099
78000000,2002,209196298,Red Dragon,1998.749362
85000000,2005,162242962,Memoirs of a Geisha,858.1349913
80000000,2003,68514844,Looney Tunes: Back in Action,947.4313312
80000000,2003,484572835,Bruce Almighty,3823.913865
80000000,2003,116643346,S.W.A.T.,2596.816975
80000000,2003,19480739,Timeline,503.8754339
80000000,2003,266728738,Something's Gotta Give,2180.175344
65000000,1996,89456761,The Long Kiss Goodnight,1092.777519
75000000,2001,67631903,Bandits,5255.602891
75000000,2001,13596911,Osmosis Jones,929.8601246
75000000,2001,54249294,Domestic Disturbance,2193.658063
75000000,2001,5409517,Monkeybone,239.6992108
92000000,2008,188072649,Tropic Thunder,4225.52758
54000000,1990,136766062,The Godfather: Part III,1111.755372
79000000,2003,173013509,Cold Mountain,1572.270075
70000000,1999,177841558,Double Jeopardy,2980.385633
70000000,1999,11263966,Chill Factor,705.3682937
70000000,1999,23159305,The Iron Giant,828.0127315
70000000,1999,309457509,Runaway Bride,2627.735292
86000000,2006,107944236,Arthur and the Invisibles,663.6480471
62000000,1995,107879496,The American President,1942.402079
60000000,1994,223664608,Interview with the Vampire,3399.440212
78000000,2003,179265204,The League of Extraordinary Gentlemen,3492.613265
85000000,2006,194168700,The Holiday,5143.30903
85000000,2006,158468292,The Fast and the Furious: Tokyo Drift,0.0
85000000,2006,197309027,Open Season,1775.42323
85000000,2006,144000000,Charlotte's Web,3986.956613
35000000,1976,35323292,The Bad News Bears,0.0
80000000,2004,55041367,Spanglish,1018.180926
80000000,2004,78000586,Exorcist: The Beginning,617.7745533
80000000,2004,96105964,The Manchurian Candidate,2385.464546
80000000,2004,516642939,Meet the Fockers,2375.196281
90000000,2008,162839667,The Spiderwick Chronicles,867.0888609
90000000,2008,201596308,You Don't Mess with the Zohan,1845.075183
82000000,2005,190320568,The Longest Yard,1332.803704
75000000,2002,114660784,We Were Soldiers,4479.273066
68000000,1999,29762011,Mystery Men,736.7903773
66000000,1998,189198313,The X Files,0.0
70000000,2000,374111707,What Women Want,3340.606064
86000000,2007,14373825,Awake,2078.086041
72000000,2001,37317558,The Majestic,3940.687678
72000000,2001,27642707,The Last Castle,943.0949458
55000000,1992,149022650,Death Becomes Her,853.4316033
60000000,1995,35431113,Money Train,32.29361868
60000000,1995,104324083,Under Siege 2: Dark Territory,115.3155439
76000000,2003,236350661,2 Fast 2 Furious,437.3632314
85000000,2007,340487652,Enchanted,253.2634662
85000000,2007,311312624,Ocean's Thirteen,5249.473875
85000000,2007,149044513,Surf's Up,528.4371779
82500000,2006,237681299,Click,1569.423988
80000000,2005,5989640,A Sound of Thunder,355.6620216
80000000,2005,162944923,The Interpreter,1314.935601
80000000,2005,10166502,The Great Raid,1160.821779
90000000,2009,524028679,Sherlock Holmes,1313.08743
90000000,2009,886686817,Ice Age: Dawn of the Dinosaurs,2237.630529
65000000,1998,250821495,You've Got Mail,3538.986625
65000000,1998,40002112,I Still Know What You Did Last Summer,222.286077
75000000,2003,51142659,Hollywood Homicide,7796.742136
44000000,1985,300400432,Rambo: First Blood Part II,729.4129891
66000000,1999,212404396,Entrapment,3519.542551
70000000,2001,176104344,Dr. Dolittle 2,3134.133338
72000000,2002,408247917,Signs,4479.273066
60000000,1996,129832389,Jingle All the Way,4244.5466
58000000,1995,352194034,GoldenEye,924.3418408
50000000,1990,41482207,Gremlins 2: The New Batch,357.3043811
40600000,1983,90400000,Trading Places,413.1787696
85000000,2008,160388063,Hellboy II: The Golden Army,479.1915666
85000000,2008,222231186,Jumper,3795.230674
80000000,2006,660940780,Ice Age: The Meltdown,1254.28025
80000000,2006,343397247,Over the Hedge,5086.848041
65000000,1999,36850101,My Favorite Martian,536.1338195
65000000,1999,162091208,Eyes Wide Shut,4697.753973
65000000,1999,117758500,Blue Streak,249.2744423
75000000,2004,196482882,50 First Dates,2367.740138
75000000,2004,367275019,Shark Tale,4339.666084
75000000,2004,288500217,The Bourne Supremacy,2794.79659
48000000,1989,474171806,Indiana Jones and the Last Crusade,6622.111571
74500000,2004,62172050,Two Brothers,554.2707946
68000000,2001,71069884,The Score,2223.335365
68000000,2001,96976270,Enemy at the Gates,838.26372
68000000,2001,203388341,Vanilla Sky,5624.555913
70000000,2002,32287044,Hart's War,5245.91234
70000000,2002,19924033,Ballistic: Ecks vs. Sever,1134.109643
70000000,2002,277448382,xXx,2074.925692
70000000,2002,33561137,I Spy,4094.325049
70000000,2002,65977295,Bad Company,1998.749362
64000000,1999,74608570,Random Hearts,8324.832996
49000000,1990,20423389,The Adventures of Ford Fairlane,0.0
55000000,1994,214015089,Disclosure,1520.930152
55000000,1994,677945399,Forrest Gump,1090.40604
60000000,1997,26673242,Event Horizon,1966.049135
60000000,1997,159330280,The Jackal,1717.47504
60000000,1997,33956608,The Relic,474.9674032
85000000,2009,219103655,It's Complicated,2278.959221
35000000,1979,31755742,1941,437.6197884
35000000,1979,139000000,Star Trek: The Motion Picture,53.23645677
80000000,2007,15071514,The Invasion,1480.527214
65000000,2000,128884132,Space Cowboys,3210.397048
65000000,2000,69700000,The Kid,4670.531146
63000000,1999,463517383,The Matrix,1067.049569
63000000,1999,100853753,Fight Club,2266.913531
75000000,2005,142400065,The Legend of Zorro,2331.698426
75000000,2005,260696994,Robots,3963.424818
75000000,2005,532680671,Madagascar,2938.001159
39000000,1983,75850624,Superman III,1390.167373
40000000,1984,30925690,Dune,44.22700825
57000000,1996,115267375,DragonHeart,90.92921096
68000000,2002,193000000,The Sum of All Fears,2584.20325
70000000,2003,85632458,Tears of the Sun,5176.988557
70000000,2003,122919055,Big Fish,3008.16684
55000000,1995,346079773,Pocahontas,986.0939917
55000000,1995,127600435,First Knight,3123.242114
60000000,1998,186883563,The Horse Whisperer,1970.507211
60000000,1998,264118201,The Truman Show,2774.695702
60000000,1998,171757863,Antz,753.2061156
76000000,2006,69959751,Children of Men,1077.073386
63600000,2000,19412993,Get Carter,2615.760002
80341000,2008,127814609,Red Cliff,269.2463012
50000000,1992,159773545,Alien³,642.0646625
